,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Raul Ruiz on the witness stand of the Salazar inquest, Hall of Records, Los Angeles,  1970",Hearings,Activism,"Ruiz, Raul",Los Angeles (Calif.),,1970-01-01,1970,Text from newspaper caption: Inquest Witness--Raul Ruiz displays for jury a photo he took of arrests being made during the rioting in East Los Angeles.,-118.2441024,34.05467467,"34.05467467,-118.2441024",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b662_neg265105-19_frame16.jpg
"Mourners kneeling at the casket of Ruben Salazar at his funeral, Newport Beach, 1970",Coffins,Activism,"Salazar, Ruben, 1928-",Newport Beach (Calif.),"Cox, Bruce H.",1970-01-01,1970,"Text from negative sleeve: Right, one of the mourners kneels beside the casket.",-117.8527759,33.6104838,"33.6104838,-117.8527759",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b662_neg265105-15_frame18.jpg
"C棠濠sar Ch棠辶vez with John Giumarra and others after signing pact ending California Grape Strike, 1970","Grape Strike, Calif., 1965-1970",Activism,"Giumarra, John, 1940-",Delano (Calif.),"Malmin, John",1970-01-01,1970,"REACH AGREEMENT--Cesar Chavez, left, seated next to John Guimarro, shakes hands with John Giumarra Jr. after signing of pact in Delano. Standing to left of elder Giumarra is Auxiliary Bishop Joseph F. Donnelly of U.S. Bishops Committee on Farm Labor Dispute.",-119.2885101,35.76179268,"35.76179268,-119.2885101",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282995a.jpg
"Los Angeles' Occidental College students with typewriters collecting letters to U.S. President Richard Nixon, 1970",College students--California--Political activity,Activism,Occidental College--Students,Los Angeles (Calif.),"Olender, Ben",1970-01-01,1970,"PROTESTING BY MAIL--Occidental College students at an outdoor table as they attempted to collect 4,000 letters to President Nixon on Cambodia. A graph, at right, shows their progress.",-118.2110238,34.12779224,"34.12779224,-118.2110238",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282963a.jpg
"Demonstrators protesting Nguyen Cao Ky's visit to Los Angeles, Calif., 1970",Visits of state--Vietnamese--California--Los Angeles,Activism,"Nguy?n, Cao K?--Public opinion",Los Angeles (Calif.),"Brown, Frank Q.",1970-01-01,1970,"PROTEST KY'S VISIT--Group of demonstrators, most of them Asian-Americans, marching on Wilshire Blvd. toward the Ambassador where South Vietnam's vice president spoke and met newsmen.",-118.297694,34.06161915,"34.06161915,-118.297694",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283031a.jpg
"Loyola University president Reverend Donald P. Merrifield holding communion for anti-war marchers, Calif., 1970",Communion,Activism,"Merrifield, Donald P.",United States--Politics and government--1969-1974,"Fry, George R.",1970-01-01,1970,"PEACE MASS--The Rev. Donald P. Merrifield, the president of Loyola University, holds communion following a march of Loyola and Marymount College students through Westchester to protest war.",-118.4170175,33.96883836,"33.96883836,-118.4170175",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282966a.jpg
"Crowd at Los Angeles Exposition Park peace rally, 1970",Crowds,Activism,"Nixon, Richard M. (Richard Milhous), 1913-1994 (U.S. President : 1969-1974)--Public opinion",United States--Politics and government--1969-1974,"Cormier, Don",1970-01-01,1970,PARK RALLY--Part of crowd gathered at Exposition Park peace rally listens to speeches opposing expansion of war to Cambodia.,-118.2855248,34.01728235,"34.01728235,-118.2855248",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282965a.jpg
"Demonstrators walking along sidewalk during Mother's Day anti-war march in Los Angeles, Calif., 1970",Mother's Day--California--Los Angeles,Activism,,United States--Politics and government--1969-1974,,1970-01-01,1970,MOTHERS MARCH ON MOTHER'S DAY--Women were in the majority in war protest march. Many of the mothers wore black.,-118.3940604,34.18658977,"34.18658977,-118.3940604",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282973a.jpg
"Line of demonstrators protesting the conviction of the Chicago Seven at the Los Angeles Federal Courthouse, 1970","Chicago Seven Trial, Chicago, Ill., 1969-1970--Public opinion",Activism,,United States--Politics and government--1969-1974,"Cox, Bruce H.",1970-01-01,1970,CIVIC CENTER MARCH--Demonstrators file past the Federal Courthouse in the Civic Center with signs in protest against the Chicago convictions.,-118.241955,34.05559721,"34.05559721,-118.241955",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282947a.jpg
"Anti-war demonstrators blocking traffic on San Bernardino Freeway near California State Los Angeles, 1970","Vietnam War, 1961-1975--Protest movements--California--Los Angeles County",Activism,,United States--Politics and government--1969-1974,,1970-01-01,1970,BLOCKING FREEWAY--Young antiwar demonstrators halt traffic on outbound lanes of San Bernardino Freeway near Cal State Los Angeles.,-118.173666,34.06058812,"34.06058812,-118.173666",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282962a.jpg
"Demonstrators marching down street to commemorate 50th anniversary of women's suffrage in Los Angeles, Calif., 1970",Equal rights amendments--United States,Activism,United States. Constitution. 19th Amendment--Commemoration,Los Angeles (Calif.),"Kennedy, Joe",1970-01-01,1970,ANNIVERSARY--Women's liberation group parading north on Spring St. at 1st St. to help commemorate the 50th anniversary of women's suffrage.,-118.2444362,34.0529367,"34.0529367,-118.2444362",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283011a.jpg
Lone picket outside of a California airport World Way Post Office during 1970 mail carrier strike,"Postal Strike, U.S., 1970",Activism,,Los Angeles County (Calif.),"Cormier, Don",1970-01-01,1970,AIRPORT STATION PICKETED--Scene at the World Way Post Office with picket walking past line of vehicles idled by the strike.,-118.3834147,33.94538034,"33.94538034,-118.3834147",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00282954a.jpg
Clean up after Chicano Moratorium Committee antiwar demonstration riots,Mexican Americans--California--Los Angeles,Activism,Chicano Moratorium Committee,"Whittier Boulevard (Los Angeles, Calif.)",,1970-01-01,1970,,-118.1628299,34.02152411,"34.02152411,-118.1628299",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012694a.jpg
"Man sleeping in car with picket signs reading ""On Strike against Construction Teamsters Local 420"" posted outside, Los Angeles, Calif., 1971",Strikes and lockouts--Construction workers--California--Los Angeles County,Activism,,Los Angeles (Calif.),"Olender, Ben",1971-01-01,1971,"WEARY PICKETER--A tired Teamster picketer takes time out for a snooze in sports car at 2nd and Figueroa Sts. About 11,000 of the 16,000 Teamsters in the area are striking against construction contractors in 11 Southern Californian counties. The strike began Monday.",-118.2531923,34.0565963,"34.0565963,-118.2531923",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327696a.jpg
"Members of the International Longshoremen's and Warehousemen's Union picketing at San Pedro, Calif., 1972",Strikes and lockouts--Stevedores--United States,Activism,,"San Pedro (Los Angeles, Calif.)","Cox, Bruce H.",1971-01-01,1971,ON STRIKE--Members of the International Longshoremen's and Warehousemen's Union picketing at San Pedro--one of 24 ports shut down.,-118.2751608,33.75064172,"33.75064172,-118.2751608",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283046a.jpg
"Angela Davis speaks on nationwide tour, Los Angeles (Calif.)",African American political activists,Activism,"Davis, Angela Yvonne, 1944-",Los Angeles (Calif.),,1972-01-01,1972,,-118.2592392,34.04496112,"34.04496112,-118.2592392",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00033939a.jpg
"Composer-conductor Aaron Copland chatting with children following free Philharmonic concert for underprivileged youths in Los Angeles, Calif., 1972",Arts and children--California--Los Angeles,Activism,"Copland, Aaron, 1900-1990",Los Angeles (Calif.),"Gunderson, Judd",1972-01-01,1972,"YOUTH CONCERT--Composer-conductor Aaron Copland chats with children following free Philharmonic concert attended by 3,200 youths from underprivileged areas. The special program was performed Thursday morning at Pavilion.",-118.2469332,34.05812604,"34.05812604,-118.2469332",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327234a.jpg
"Airplane hijacker and Mexican American activist Ricardo Chavez-Ortiz talking with reporters in Los Angeles, Calif., 1972",Mexican Americans--Civil rights,Activism,"Chavez Ortiz, Ricardo--Trials, litigation, etc.",Los Angeles (Calif.),"Cormier, Don",1972-01-01,1972,"TRIAL SET--Ricardo Chavez-Ortiz, left, accused of hijacking an airliner to bring attention to plight of Mexican-Americans, appears for arraignment at federal court with his attorney, Michael Hannon. He pleaded not guilty. Trial date is June 27.",-118.241365,34.05498833,"34.05498833,-118.241365",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327236a.jpg
"Demonstrators, outside City Hall, holding up signs, one reading ""5% City Jobs in Not Enough!"" at protest urging city to hire more Mexican Americans, Los Angeles, Calif., 1972",Mexican Americans--Employment--California--Los Angeles County,Activism,,Los Angeles (Calif.),"Varie, Bill",1972-01-01,1972,PICKET CITY HALL--Some of the 30 demonstrators who gathered in front of the city Employment Office to demand that the city begin hiring Mexican -Americans in proportion to their numbers in the local population. They then filled out job applications.,-118.2428375,34.0520983,"34.0520983,-118.2428375",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327709a.jpg
"Members of the Gay Liberation Front picketing a police station in Hollywood, Calif., 1971",Gay rights--California--Los Angeles County,Activism,Gay Liberation Front/Los Angeles,"Hollywood (Los Angeles, Calif.)",,1972-01-01,1972,GAY PICKETS--Two members of the Gay Liberation Front protest in front of the Hollywood division police station a year ago.,-118.3298175,34.09609927,"34.09609927,-118.3298175",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00283065a.jpg
"Boxes of clothing and food for Nicaragua earthquake victims being loaded onto freighter in Long Beach, Calif., 1973","Managua Earthquake, Nicaragua, 1972",Activism,,Long Beach (Calif.),"Ruhlow, Jerry",1973-01-01,1973,"NICARAGUA BOUND-- Seventy tons of clothing and 90 tons of food collected for Managua earthquake victims await loading on freighter Australic at Long Beach Harbor. Operators of the freighter provided space on ship, stevedores paid for loading, city waived port charges.",-118.2029343,33.74389746,"33.74389746,-118.2029343",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327907a.jpg
"Medical personal during protest march against government cutting healthcare programs, Los Angeles, Calif., 1973",Medical policy--United States--Public opinion,Activism,"Nixon, Richard M. (Richard Milhous), 1913-1994 (U.S. President : 1969-1974)--Public opinion",Los Angeles (Calif.),"Caccavo, James",1973-01-01,1973,"MARCH FOR HEALTH CARE-- Nurses, interns and other medical personnel gather at L.A. City College for march to Hollywood Presbyterian Hospital to protest cutbacks in health-care programs.",-118.2917248,34.08583979,"34.08583979,-118.2917248",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327962a.jpg
"Daryle Klein, 3, waving flag as color guard stands on steps of city hall during POW/MIA demonstration in Los Angeles, Calif., 1973",Missing in action--United States--Commemorations,Activism,National League of Families of American Prisoners and Missing in Southeast Asia,Los Angeles (Calif.),"Meyer, Rick",1973-01-01,1973,"Daryle Klein, 3, waves his flag in support of rally that called attention to the 1300 Americans missing in Asia",-118.2431754,34.05385722,"34.05385722,-118.2431754",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327751a.jpg
"Demonstrators at ""economic survival"" rally, one holding sign reading ""Draft Ralph Nader for President"" in Los Angeles, Calif., 1974",Women--Clothing & dress--California--Los Angeles--1970-1980,Activism,"Nader, Ralph--Public opinion",United States--Economic conditions--1971-1981--Public opinion,"Murphy, William S.",1974-01-01,1974,"SURVIVAL DEMANDS--A ""march for economic survival"" brought out about 50 groups for a City Hall rally. The protester at left offers his solution with a sign supporting Ralph Nader ...",-118.2436207,34.05275276,"34.05275276,-118.2436207",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328122a.jpg
"Man holding baby amongst Pro-life demonstrators with signs, one reading ""Babies Need Love Not Torture"" in Los Angeles, Calif., 1974",Demonstrations--California--Los Angeles County,Activism,,Los Angeles (Calif.),"Montney, Cal",1974-01-01,1974,"SUBJECT: BABIES--Colleen Ferral, 4 months, is among those present at an anti-abortion rally at the federal building in West Los Angeles. Demonstration was one of many held throughout the nation on the first anniversary of Supreme Court decision striking down most antiabortion laws.",-118.4482491,34.05722829,"34.05722829,-118.4482491",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328060a.jpg
"Leonard Levy and garment workers picketing against clothing imports at 8th and Broadway in Los Angeles, Calif., 1974",Strikes and lockouts--Clothing trade--California--Los Angeles,Activism,Amalgamated Clothing Workers of America,Los Angeles (Calif.),"Cormier, Don",1974-01-01,1974,OUT IN FORCE--Union official Leonard Levy mans loudspeaker as garment workers demonstrate against clothing imports at 8th and Broadway.,-118.2550147,34.04389766,"34.04389766,-118.2550147",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328146a.jpg
"Demonstrators, one with sign reading ""Fight the Energy Freeze"" picketing against Exxon Corp. and oil prices in Los Angeles, Calif., 1974",Petroleum industry and trade--United States--Public opinion,Activism,Exxon Corporation--Public opinion,Los Angeles (Calif.),"Malmin, John",1974-01-01,1974,OIL CRITICS--Advocates of a rollback in oil prices march in front of the Masonic Temple where Exxon Corp. held its annual meeting. At the same time Chairman J. K. Jamieson was telling shareholders that high profits are needed by Exxon to finance exploration for energy.,-118.3240414,34.06196134,"34.06196134,-118.3240414",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328104a.jpg
"Joanne Woodward with other actors signing petition against oil drilling off the California coast in Santa Monica, Calif., 1974","Offshore oil well drilling--California, Southern--Public opinion",Activism,"Woodward, Joanne, 1930- --Political activity",Santa Monica (Calif.),"Olender, Ben",1974-01-01,1974,"JOIN PROTEST--Actress Joanne Woodward signs a petition against oil drilling off the Southern California coast at a news conference at the Santa Monica pier. Waiting to add their signatures are actress Jacqueline Bisset, actor Jack Lemmon and actor Paul Newman, on right.",-118.496102,34.0100844,"34.0100844,-118.496102",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328152a.jpg
